score_type	n_features	features_str	median	lower	upper
gws	1	('DCR',)	0.38	0.31	0.46550000000000014
gws	1	('FEL',)	0.35	0.27	0.43
gws	1	('FRE',)	0.35	0.28	0.42275000000000007
gws	1	('LW',)	0.38	0.30725	0.45
gws	1	('MER',)	0.35	0.26725000000000004	0.42
gws	1	('RL',)	0.38	0.3	0.43
gws	2	('DCR', 'FEL')	0.38	0.30725	0.46550000000000014
gws	2	('DCR', 'FRE')	0.385	0.30725	0.47275000000000006
gws	2	('DCR', 'LW')	0.42	0.32725000000000004	0.50275
gws	2	('DCR', 'MER')	0.38	0.31	0.46275000000000005
gws	2	('DCR', 'RL')	0.4	0.31725000000000003	0.46
gws	2	('FEL', 'FRE')	0.36	0.29	0.45
gws	2	('FEL', 'LW')	0.41	0.32725000000000004	0.49
gws	2	('FEL', 'MER')	0.36	0.29	0.45
gws	2	('FEL', 'RL')	0.4	0.32725000000000004	0.49
gws	2	('FRE', 'LW')	0.42	0.34	0.50275
gws	2	('FRE', 'MER')	0.365	0.29725	0.4527500000000001
gws	2	('FRE', 'RL')	0.41	0.31725000000000003	0.47275000000000006
gws	2	('LW', 'MER')	0.4	0.31725000000000003	0.49
gws	2	('LW', 'RL')	0.425	0.33725000000000005	0.53
gws	2	('MER', 'RL')	0.38	0.31725000000000003	0.47
gws	3	('DCR', 'FEL', 'FRE')	0.37	0.28725	0.46
gws	3	('DCR', 'FEL', 'LW')	0.42	0.3245	0.53
gws	3	('DCR', 'FEL', 'MER')	0.38	0.29725	0.47
gws	3	('DCR', 'FEL', 'RL')	0.41	0.33	0.49
gws	3	('DCR', 'FRE', 'LW')	0.42	0.3445	0.53
gws	3	('DCR', 'FRE', 'MER')	0.38	0.29	0.46
gws	3	('DCR', 'FRE', 'RL')	0.4	0.29725	0.48275000000000007
gws	3	('DCR', 'LW', 'MER')	0.41	0.33725000000000005	0.51
gws	3	('DCR', 'LW', 'RL')	0.44	0.35	0.52275
gws	3	('DCR', 'MER', 'RL')	0.4	0.31	0.46275000000000005
gws	3	('FEL', 'FRE', 'LW')	0.43	0.34	0.5
gws	3	('FEL', 'FRE', 'MER')	0.38	0.29725	0.4755000000000001
gws	3	('FEL', 'FRE', 'RL')	0.4	0.33	0.48275000000000007
gws	3	('FEL', 'LW', 'MER')	0.42	0.35	0.50275
gws	3	('FEL', 'LW', 'RL')	0.445	0.36	0.5355000000000002
gws	3	('FEL', 'MER', 'RL')	0.4	0.31	0.47275000000000006
gws	3	('FRE', 'LW', 'MER')	0.43	0.33725000000000005	0.51
gws	3	('FRE', 'LW', 'RL')	0.46	0.37	0.54
gws	3	('FRE', 'MER', 'RL')	0.405	0.33	0.47
gws	3	('LW', 'MER', 'RL')	0.44	0.34725	0.52275
gws	4	('DCR', 'FEL', 'FRE', 'LW')	0.43	0.33725000000000005	0.51275
gws	4	('DCR', 'FEL', 'FRE', 'MER')	0.38	0.3045	0.47275000000000006
gws	4	('DCR', 'FEL', 'FRE', 'RL')	0.4	0.31725000000000003	0.49
gws	4	('DCR', 'FEL', 'LW', 'MER')	0.43	0.33725000000000005	0.51
gws	4	('DCR', 'FEL', 'LW', 'RL')	0.445	0.35725	0.5427500000000001
gws	4	('DCR', 'FEL', 'MER', 'RL')	0.405	0.31725000000000003	0.4927500000000001
gws	4	('DCR', 'FRE', 'LW', 'MER')	0.42	0.32	0.51275
gws	4	('DCR', 'FRE', 'LW', 'RL')	0.46	0.36	0.5327500000000001
gws	4	('DCR', 'FRE', 'MER', 'RL')	0.4	0.30725	0.47
gws	4	('DCR', 'LW', 'MER', 'RL')	0.43	0.34	0.52275
gws	4	('FEL', 'FRE', 'LW', 'MER')	0.42	0.33725000000000005	0.51
gws	4	('FEL', 'FRE', 'LW', 'RL')	0.46	0.38	0.5427500000000001
gws	4	('FEL', 'FRE', 'MER', 'RL')	0.4	0.33	0.47275000000000006
gws	4	('FEL', 'LW', 'MER', 'RL')	0.47	0.38	0.55
gws	4	('FRE', 'LW', 'MER', 'RL')	0.46	0.38	0.54
gws	5	('DCR', 'FEL', 'FRE', 'LW', 'MER')	0.42	0.32	0.52
gws	5	('DCR', 'FEL', 'FRE', 'LW', 'RL')	0.46	0.37	0.55
gws	5	('DCR', 'FEL', 'FRE', 'MER', 'RL')	0.41	0.31725000000000003	0.4927500000000001
gws	5	('DCR', 'FEL', 'LW', 'MER', 'RL')	0.46	0.36	0.5382500000000002
gws	5	('DCR', 'FRE', 'LW', 'MER', 'RL')	0.46	0.36	0.55
gws	5	('FEL', 'FRE', 'LW', 'MER', 'RL')	0.46	0.38	0.54
gws	6	('DCR', 'FEL', 'FRE', 'LW', 'MER', 'RL')	0.45	0.36	0.54
