"corpus","preloaded/sibol_corpus"
"subcorpus","-"
Headword,Relation,Collocation,Frequency,Relative frequency,Rating
"fa-n","nouns modified by ""%w""","Cup-n",16093,15.94580,11.343
"stock-n","nouns modified by ""%w""","market-n",15571,15.42857,10.808
"Real-n","nouns modified by ""%w""","Madrid-n",15533,15.39092,13.335
"former-j","nouns modified by ""%w""","minister-n",15417,15.27598,9.695
"only-j","nouns modified by ""%w""","way-n",15413,15.27202,10.142
"pre-tax-j","nouns modified by ""%w""","profit-n",15212,15.07286,12.522
"other-j","nouns modified by ""%w""","side-n",15147,15.00845,9.028
"Gordon-n","nouns modified by ""%w""","Brown-n",15101,14.96287,12.163
"good-j","nouns modified by ""%w""","time-n",15092,14.95396,8.508
"private-j","nouns modified by ""%w""","sector-n",15001,14.86379,10.698
"Aston-n","nouns modified by ""%w""","Villa-n",14815,14.67949,13.430
"federal-j","nouns modified by ""%w""","government-n",14745,14.61013,10.581
"New-n","nouns modified by ""%w""","Times-n",14714,14.57941,10.339
"civil-j","nouns modified by ""%w""","servant-n",14631,14.49717,12.236
"York-n","nouns modified by ""%w""","Times-n",14622,14.48825,11.724
"same-j","nouns modified by ""%w""","way-n",14555,14.42187,9.702
"High-n","nouns modified by ""%w""","Court-n",14533,14.40007,11.665
"financial-j","nouns modified by ""%w""","crisis-n",14208,14.07804,10.728
"first-j","nouns modified by ""%w""","place-n",14207,14.07705,8.823
"Mr.-n","nouns modified by ""%w""","Obama-n",14082,13.95319,10.361
"hard-j","nouns modified by ""%w""","work-n",14040,13.91158,10.786
"human-j","nouns modified by ""%w""","right-n",14033,13.90464,9.966
"good-j","nouns modified by ""%w""","friend-n",14002,13.87393,9.043
"President-n","nouns modified by ""%w""","Obama-n",13807,13.68071,11.768
"Mr-n","nouns modified by ""%w""","Blair-n",13571,13.44687,9.387
"low-j","nouns modified by ""%w""","rate-n",13499,13.37553,10.024
"other-j","nouns modified by ""%w""","thing-n",13445,13.32202,8.677
"mental-j","nouns modified by ""%w""","health-n",13276,13.15457,11.987
"second-j","nouns modified by ""%w""","time-n",13236,13.11493,8.918
"previous-j","nouns modified by ""%w""","year-n",13034,12.91478,8.750
"good-j","nouns modified by ""%w""","chance-n",12926,12.80777,8.962
"high-j","nouns modified by ""%w""","street-n",12919,12.80083,10.002
"several-j","nouns modified by ""%w""","year-n",12909,12.79092,8.618
"chief-j","nouns modified by ""%w""","minister-n",12886,12.76813,9.702
"same-j","nouns modified by ""%w""","period-n",12870,12.75228,9.922
"world-n","nouns modified by ""%w""","champion-n",12756,12.63932,10.977
"last-j","nouns modified by ""%w""","weekend-n",12665,12.54916,8.560
"Lib-n","nouns modified by ""%w""","Dems-n",12636,12.52042,13.416
"Saudi-n","nouns modified by ""%w""","Arabia-n",12616,12.50060,13.730
"senior-j","nouns modified by ""%w""","officer-n",12597,12.48178,10.090
"Sri-n","nouns modified by ""%w""","Lanka-n",12516,12.40152,13.503
"great-j","nouns modified by ""%w""","deal-n",12254,12.14191,9.519
"Home-n","nouns modified by ""%w""","Office-n",12228,12.11615,11.892
"public-j","nouns modified by ""%w""","service-n",12173,12.06166,9.431
"civil-j","nouns modified by ""%w""","war-n",12149,12.03787,11.270
"new-j","nouns modified by ""%w""","rule-n",12038,11.92789,8.406
"young-j","nouns modified by ""%w""","player-n",12002,11.89222,9.395
"Labour-n","nouns modified by ""%w""","MP-n",11848,11.73963,11.035
"head-n","nouns modified by ""%w""","coach-n",11833,11.72477,11.628
"small-j","nouns modified by ""%w""","business-n",11815,11.70693,9.819
"many-j","nouns modified by ""%w""","time-n",11793,11.68513,8.479
"more-j","nouns modified by ""%w""","money-n",11786,11.67820,9.343
"low-j","nouns modified by ""%w""","level-n",11658,11.55137,10.090
"first-j","nouns modified by ""%w""","year-n",11639,11.53254,7.769
"high-j","nouns modified by ""%w""","price-n",11634,11.52759,9.380
"Joe-n","nouns modified by ""%w""","Biden-n",11604,11.49786,12.302
"phone-n","nouns modified by ""%w""","call-n",11589,11.48300,11.628
"other-j","nouns modified by ""%w""","word-n",11572,11.46615,8.779
"economic-j","nouns modified by ""%w""","growth-n",11521,11.41562,10.691
"Mr-n","nouns modified by ""%w""","Johnson-n",11477,11.37202,9.028
"long-j","nouns modified by ""%w""","term-n",11469,11.36409,10.186
"Mr-n","nouns modified by ""%w""","Brown-n",11437,11.33239,9.072
"olive-j","nouns modified by ""%w""","oil-n",11303,11.19961,12.288
"good-j","nouns modified by ""%w""","idea-n",11300,11.19664,8.765
"heart-n","nouns modified by ""%w""","attack-n",11278,11.17484,11.240
"recent-j","nouns modified by ""%w""","week-n",11273,11.16989,9.233
"young-j","nouns modified by ""%w""","child-n",11264,11.16097,9.797
"primary-j","nouns modified by ""%w""","school-n",11238,11.13521,10.698
"general-j","nouns modified by ""%w""","secretary-n",11224,11.12134,10.603
"first-j","nouns modified by ""%w""","quarter-n",11204,11.10152,8.647
"North-n","nouns modified by ""%w""","Korea-n",11148,11.04603,11.643
"Saturday-n","nouns modified by ""%w""","night-n",11118,11.01631,10.076
"few-j","nouns modified by ""%w""","people-n",11069,10.96775,8.838
"credit-n","nouns modified by ""%w""","card-n",11009,10.90830,11.416
"other-j","nouns modified by ""%w""","member-n",11000,10.89938,8.479
"Second-n","nouns modified by ""%w""","War-n",10915,10.81516,12.383
"other-j","nouns modified by ""%w""","way-n",10909,10.80922,8.420
