features	acc_mean	acc_std	accs	score_type	n_features	features_str
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.36	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.41	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.41	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.4	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.39	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.4	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.4	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.34	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.34	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.37	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.3	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.36	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.42	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.41	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.42	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.32	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.43	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.42	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.35	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.33	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.34	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.43	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.43	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.34	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.48	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.39	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.36	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.41	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.35	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.37	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.41	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.37	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.35	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.45	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.33	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.42	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.36	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.37	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.34	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.43	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.4	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.4	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.4	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.42	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.31	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.35	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.39	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.37	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.41	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.35	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.41	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.35	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.45	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.36	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.33	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.41	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.37	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.48	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.41	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.33	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.39	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.36	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.37	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.42	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.36	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.42	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.44	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.43	gws	1	('DCR',)
('DCR',)	0.3831333333333333	0.038938184629258486	0.38	gws	1	('DCR',)
