features	acc_mean	acc_std	accs	score_type	n_features	features_str
('DCR',)	0.5471913161465402	0.06129414530381624	0.4925373134328358	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.582089552238806	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5074626865671642	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.6716417910447762	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.47761194029850745	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5074626865671642	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5303030303030303	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5757575757575758	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5606060606060606	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5757575757575758	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5970149253731343	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.47761194029850745	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.582089552238806	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.47761194029850745	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5671641791044776	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5373134328358209	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.48484848484848486	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.6212121212121212	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.6363636363636364	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.47761194029850745	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5223880597014925	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5074626865671642	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.6268656716417911	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5970149253731343	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5373134328358209	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.6212121212121212	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.4696969696969697	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.48484848484848486	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.6212121212121212	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5970149253731343	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5223880597014925	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.6567164179104478	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.4925373134328358	gws	1	('DCR',)
('DCR',)	0.5471913161465402	0.06129414530381624	0.5223880597014925	gws	1	('DCR',)
