features,mean,stdev
"('DCR',)",0.5773722297602895,0.05864886453820483
"('FRE',)",0.5709648726066637,0.05430001953737618
"('LW',)",0.5158616010854816,0.05822758380327536
"('MER',)",0.6078637117443089,0.0535199182054566
"('DCR', 'FRE')",0.5766515905321876,0.05234215692990888
"('DCR', 'LW')",0.6035052012663953,0.04865079400106418
"('DCR', 'MER')",0.6225252525252525,0.05471272128924333
"('FRE', 'LW')",0.6198236092265943,0.05253754283202243
"('FRE', 'MER')",0.6133665008291873,0.05160773523316631
"('LW', 'MER')",0.6058751696065129,0.055531725672426015
"('DCR', 'FRE', 'LW')",0.6125358058193878,0.05099069684965894
"('DCR', 'FRE', 'MER')",0.61880144730891,0.05287324703008919
"('DCR', 'LW', 'MER')",0.6311231720186944,0.04913780179887564
"('FRE', 'LW', 'MER')",0.6346359113523292,0.05781861469819229
"('DCR', 'FRE', 'LW', 'MER')",0.6225463591135233,0.053418936188069886
