features,mean,stdev
"('DCR',)",0.5773722297602895,0.05864886453820483
"('FEL',)",0.6730710085933966,0.05403087827615082
"('FRE',)",0.5709648726066637,0.05430001953737618
"('LW',)",0.5158616010854816,0.05822758380327536
"('MER',)",0.6078637117443089,0.0535199182054566
"('RL',)",0.5956113372531284,0.05582472719083067
"('DCR', 'FEL')",0.6797844112769486,0.053512270503936726
"('DCR', 'FRE')",0.5766515905321876,0.05234215692990888
"('DCR', 'LW')",0.6035052012663953,0.04865079400106418
"('DCR', 'MER')",0.6225252525252525,0.05471272128924333
"('DCR', 'RL')",0.5807779285391225,0.05627512480736216
"('FEL', 'FRE')",0.7138037087290818,0.05403592704844938
"('FEL', 'LW')",0.6978908487863712,0.05313344272845225
"('FEL', 'MER')",0.6735700286446554,0.05501690088083999
"('FEL', 'RL')",0.6764736921453339,0.05838037638790218
"('FRE', 'LW')",0.6198236092265943,0.05253754283202243
"('FRE', 'MER')",0.6133665008291873,0.05160773523316631
"('FRE', 'RL')",0.5724393185587215,0.05363653568293254
"('LW', 'MER')",0.6058751696065129,0.055531725672426015
"('LW', 'RL')",0.5703588120006031,0.057157473037997376
"('MER', 'RL')",0.6033619779888437,0.05504597510812556
"('DCR', 'FEL', 'FRE')",0.7208201417156641,0.052366794148412964
"('DCR', 'FEL', 'LW')",0.694690185436454,0.05323269416738784
"('DCR', 'FEL', 'MER')",0.6719779888436606,0.05455773994066774
"('DCR', 'FEL', 'RL')",0.6870978441127694,0.056199677909739516
"('DCR', 'FRE', 'LW')",0.6125358058193878,0.05099069684965894
"('DCR', 'FRE', 'MER')",0.61880144730891,0.05287324703008919
"('DCR', 'FRE', 'RL')",0.581952359415046,0.05189851656070681
"('DCR', 'LW', 'MER')",0.6311231720186944,0.04913780179887564
"('DCR', 'LW', 'RL')",0.6030031659882407,0.0485367133058048
"('DCR', 'MER', 'RL')",0.6211080958842152,0.05443952891760318
"('FEL', 'FRE', 'LW')",0.7284456505352026,0.05466552136006002
"('FEL', 'FRE', 'MER')",0.7194210764360017,0.054875345106781964
"('FEL', 'FRE', 'RL')",0.7438579828132067,0.049167066516489374
"('FEL', 'LW', 'MER')",0.7126307854666063,0.04993682194782875
"('FEL', 'LW', 'RL')",0.7168189356249056,0.04990224980502732
"('FEL', 'MER', 'RL')",0.6741730740238203,0.057069904252436375
"('FRE', 'LW', 'MER')",0.6346359113523292,0.05781861469819229
"('FRE', 'LW', 'RL')",0.6163138851198553,0.0547932094957977
"('FRE', 'MER', 'RL')",0.5993532338308459,0.05409413374900662
"('LW', 'MER', 'RL')",0.6044715814865068,0.05251233158883039
"('DCR', 'FEL', 'FRE', 'LW')",0.7272320217096336,0.0477764895027914
"('DCR', 'FEL', 'FRE', 'MER')",0.71972561435248,0.05693176699499675
"('DCR', 'FEL', 'FRE', 'RL')",0.7397361676466154,0.04927941593464396
"('DCR', 'FEL', 'LW', 'MER')",0.7093411729232624,0.04963109642118138
"('DCR', 'FEL', 'LW', 'RL')",0.7164224332881048,0.05007501564841432
"('DCR', 'FEL', 'MER', 'RL')",0.687396351575456,0.05792389383583559
"('DCR', 'FRE', 'LW', 'MER')",0.6225463591135233,0.053418936188069886
"('DCR', 'FRE', 'LW', 'RL')",0.6135172621739786,0.05126043762695243
"('DCR', 'FRE', 'MER', 'RL')",0.6215181667420474,0.05375549480197267
"('DCR', 'LW', 'MER', 'RL')",0.6214111261872456,0.051940772686748404
"('FEL', 'FRE', 'LW', 'MER')",0.7461586009347203,0.05357038996491624
"('FEL', 'FRE', 'LW', 'RL')",0.7530423639378864,0.050764501435008755
"('FEL', 'FRE', 'MER', 'RL')",0.7448499924619327,0.05119025412922678
"('FEL', 'LW', 'MER', 'RL')",0.7194301221166893,0.04902775844554243
"('FRE', 'LW', 'MER', 'RL')",0.6334162520729685,0.05343481720135364
"('DCR', 'FEL', 'FRE', 'LW', 'MER')",0.7446781245288707,0.04983777008108284
"('DCR', 'FEL', 'FRE', 'LW', 'RL')",0.7467571234735414,0.05054055748650733
"('DCR', 'FEL', 'FRE', 'MER', 'RL')",0.7394316297301372,0.049278252799389737
"('DCR', 'FEL', 'LW', 'MER', 'RL')",0.7180325644504749,0.04875926781149591
"('DCR', 'FRE', 'LW', 'MER', 'RL')",0.6173209709030605,0.053152901921930465
"('FEL', 'FRE', 'LW', 'MER', 'RL')",0.7588828584350973,0.05047495814883127
"('DCR', 'FEL', 'FRE', 'LW', 'MER', 'RL')",0.7469410523141867,0.04944690535937712
