features,mean,stdev
"('DCR',)",0.5471913161465402,0.06129414530381624
"('FEL',)",0.5396668174280115,0.05812405987575587
"('FRE',)",0.5377627016432986,0.05529311818433262
"('LW',)",0.506318407960199,0.05495803924117135
"('MER',)",0.4805939996984773,0.055794702604667554
"('RL',)",0.527842605156038,0.059829598860650465
"('DCR', 'FEL')",0.5348424543946932,0.05574739756139473
"('DCR', 'FRE')",0.5377476255088196,0.05983331184204714
"('DCR', 'LW')",0.5671023669531132,0.061608074659339346
"('DCR', 'MER')",0.5349268807477763,0.05425159426913326
"('DCR', 'RL')",0.5593607718980852,0.05552554090783355
"('FEL', 'FRE')",0.514521332730288,0.05459564514898219
"('FEL', 'LW')",0.5299321573948439,0.05841012806815324
"('FEL', 'MER')",0.5270812603648425,0.051665976230699635
"('FEL', 'RL')",0.5645514849992461,0.057029875507687976
"('FRE', 'LW')",0.5514834916327455,0.05989128623540602
"('FRE', 'MER')",0.5176420925674657,0.050213889800257844
"('FRE', 'RL')",0.567057138549676,0.05521179550388484
"('LW', 'MER')",0.4900542740841248,0.058638605986065344
"('LW', 'RL')",0.5174174581637269,0.05983658786104344
"('MER', 'RL')",0.5550444745967135,0.05593615730426737
"('DCR', 'FEL', 'FRE')",0.528751696065129,0.05467333321502503
"('DCR', 'FEL', 'LW')",0.5662068445650535,0.060108369027809416
"('DCR', 'FEL', 'MER')",0.5286341022161918,0.0512781643696722
"('DCR', 'FEL', 'RL')",0.5778848183325794,0.058049083847579286
"('DCR', 'FRE', 'LW')",0.5681275440976934,0.06019758020125745
"('DCR', 'FRE', 'MER')",0.5303181064375095,0.05539649043307652
"('DCR', 'FRE', 'RL')",0.5686838534599727,0.05722605027666577
"('DCR', 'LW', 'MER')",0.5704613297150611,0.05647552536773642
"('DCR', 'LW', 'RL')",0.5736740539725614,0.05858040702545538
"('DCR', 'MER', 'RL')",0.5633604703753957,0.0613770435885362
"('FEL', 'FRE', 'LW')",0.5577868234584652,0.06185290600289659
"('FEL', 'FRE', 'MER')",0.5260741745816373,0.050025638538266394
"('FEL', 'FRE', 'RL')",0.5631705110809588,0.0556458683608565
"('FEL', 'LW', 'MER')",0.5679375848032564,0.05881831285938821
"('FEL', 'LW', 'RL')",0.5989989446705863,0.05471236890461443
"('FEL', 'MER', 'RL')",0.5616628976330469,0.05854974482679479
"('FRE', 'LW', 'MER')",0.5663937886325946,0.05888079868497232
"('FRE', 'LW', 'RL')",0.6122161917684306,0.059310740522118224
"('FRE', 'MER', 'RL')",0.5596562641338761,0.05491825868467825
"('LW', 'MER', 'RL')",0.546336499321574,0.058080947004139405
"('DCR', 'FEL', 'FRE', 'LW')",0.5690290969395446,0.06018295222625959
"('DCR', 'FEL', 'FRE', 'MER')",0.5368219508518016,0.05864438659339119
"('DCR', 'FEL', 'FRE', 'RL')",0.567755163576059,0.058177657016773396
"('DCR', 'FEL', 'LW', 'MER')",0.574266546057591,0.05600014331336071
"('DCR', 'FEL', 'LW', 'RL')",0.602412181516659,0.06027013944306855
"('DCR', 'FEL', 'MER', 'RL')",0.5728855721393035,0.06024264170482439
"('DCR', 'FRE', 'LW', 'MER')",0.57318407960199,0.05632261845384068
"('DCR', 'FRE', 'LW', 'RL')",0.6112091059852254,0.054985974072581864
"('DCR', 'FRE', 'MER', 'RL')",0.5619644203226293,0.05870983876898941
"('DCR', 'LW', 'MER', 'RL')",0.568269259761797,0.059297343600490965
"('FEL', 'FRE', 'LW', 'MER')",0.5636619930649781,0.05817782667033146
"('FEL', 'FRE', 'LW', 'RL')",0.6100934720337705,0.05724008067089231
"('FEL', 'FRE', 'MER', 'RL')",0.5574461028192371,0.05616193142726085
"('FEL', 'LW', 'MER', 'RL')",0.6037810945273632,0.05633051648000575
"('FRE', 'LW', 'MER', 'RL')",0.6074249962309665,0.05883326653283023
"('DCR', 'FEL', 'FRE', 'LW', 'MER')",0.5708804462535807,0.0560799582309692
"('DCR', 'FEL', 'FRE', 'LW', 'RL')",0.6107221468415498,0.05681203461809503
"('DCR', 'FEL', 'FRE', 'MER', 'RL')",0.5674581637268205,0.05823679753579509
"('DCR', 'FEL', 'LW', 'MER', 'RL')",0.6090984471581486,0.057141014411576
"('DCR', 'FRE', 'LW', 'MER', 'RL')",0.6106166139001961,0.05517843832624995
"('FEL', 'FRE', 'LW', 'MER', 'RL')",0.6136031961405096,0.05637818689104655
"('DCR', 'FEL', 'FRE', 'LW', 'MER', 'RL')",0.6111035730438716,0.05592628640342541
