ID,DCR,FRE,LW,MER
voa-001c6ff0-9fb7-4d23-9bf3-a26929ee52c83,10.6015,40.1977,48.9007,19.6333
voa-0022123d-c8a7-405d-af97-b6a8aa7d110e2,8.8627,49.8635,55.7143,25.3
voa-005da417-c2ad-48f4-a08c-c0800f79d33c2,8.5681,51.9294,49.4364,14.6667
voa-00860f99-097f-4349-9691-fb435e27d3c31,9.3126,39.3885,56.701,14.8
voa-00da8787-0446-440f-8e43-a5b45215773f1,8.2722,58.8378,51.6484,17.9
voa-01068267-2295-4f16-8201-0fe7fcd014eb2,9.5981,51.9157,56.6667,23.9
voa-0157644f-3933-4e00-b40a-0096acdab6842,7.972,55.814,50.3133,19.7667
voa-0169d0ba-1c6f-492b-a479-92c7da461c7a2,8.9469,47.7069,54.1364,23.0
voa-01825248-a485-493f-bad5-fda948113aa93,9.7436,52.1885,56.4211,21.7667
voa-01be69a0-d74c-464a-bce7-1e76caaecb691,7.6788,74.8752,58.0,18.1
voa-01da2cf8-aec1-4d54-9b21-bcd360f348312,8.5748,57.7518,54.7742,17.7667
voa-01dc0158-15fe-40de-916a-09a1237678eb3,7.6299,54.4916,62.4211,41.5333
voa-01ff6468-468c-4d19-bcee-77b073c9e68d1,10.572,16.4596,44.5783,15.6
voa-0253c0d2-1d1a-482f-b886-1612d38172181,8.0596,69.6777,53.0,16.5
voa-02885ad8-e051-4430-b542-aaeb4a9a5d172,7.4622,72.2802,61.2964,22.2667
voa-02889067-82e2-416a-bca2-343099f381a81,7.142,67.8983,65.0,12.9
voa-02ac096c-29b5-4187-b719-8c98e87e5aa93,9.0507,52.3496,55.7104,23.2333
voa-02fb06ba-d57f-4ab4-ace2-37b4bced855f3,9.2836,42.6766,51.408,24.4667
voa-0348227f-0217-48ce-ac9e-277f103a731a2,8.2044,51.7989,56.6211,24.2667
voa-034fa7dc-a4c6-4ad9-b619-fc95481b92b11,9.24,45.977,44.0,20.0
voa-03abe405-0ac2-47db-83b1-d59e4971313f1,8.871,53.12,52.5773,22.7
voa-045457d5-d7d8-4331-a714-64d8c345745d3,10.0996,33.0885,49.4852,23.2
voa-04764b3c-da15-44da-afca-ab3295502bcf1,7.6802,56.734,55.0,24.4
voa-0494bc20-d6bc-4a3c-80b6-7a1a673f96bf3,9.2866,39.7611,52.2813,21.3
voa-0545a338-9629-4d19-8fab-3b29d784539f3,8.1244,68.5212,62.6409,17.8
voa-06526d3c-e9e0-4b4d-b3de-113d05c64b202,8.7124,49.3366,54.8728,18.8
voa-065a2bcf-33f3-4bc4-889e-e5adf9d4e7eb3,7.9811,66.7071,60.0978,15.9333
voa-06756f69-21cf-4579-b171-fb7776bbbf993,8.0041,57.8732,57.185,21.1333
voa-06838ce8-ca68-4363-af62-db0e3a9c69983,8.9718,53.61,57.8728,25.6
voa-06b5ff95-3ddd-4cdc-bd6e-0b12f60999ec2,10.331,33.0909,40.2778,23.8
voa-072edbdb-92fb-45b6-8d96-c88df61275893,8.7712,59.9289,61.6667,21.4
voa-07c12bb4-ab7b-40c4-be91-6ae0997228c11,7.0724,67.6905,60.0,17.1
voa-07ee7827-2277-4e4e-b1de-8c68fcccb9932,9.8067,42.2128,45.0,21.9
voa-0814e0f8-c383-436b-8f44-d2178873a2933,9.157,53.9046,56.3243,22.0667
voa-081eb797-05fd-49ae-9baa-38d28ec938a03,7.1324,74.0782,65.4278,20.0
voa-08207996-7ed4-4d13-8ea1-39e81a2df3673,9.7767,49.3864,62.3728,24.9333
voa-084ec6ec-6b81-45eb-8bfd-1838f9ba58143,8.637,53.3284,58.244,25.1
voa-08fcae98-6e95-492f-bda5-fda2f256c7f33,9.4711,35.3435,48.0,20.4667
voa-08fdabab-157a-4e41-8fb6-4c86919051621,9.3541,47.2926,44.0,16.8
voa-09a89fd7-4ddc-422d-b875-951b088cf3522,8.5665,59.5854,56.6599,21.9667
voa-0a0a661b-cbc7-4e30-9493-d1723148128c2,9.6174,57.208,54.6111,24.4667
voa-0a5c9d27-e7ad-4f28-82b6-be4a5a49a66e1,8.7804,60.4574,49.0,24.7
voa-0a6acc8d-d71f-4c20-b767-2c58e51814401,8.0173,56.7204,49.0,19.6
voa-0a7e3c05-6e5e-4c4e-a625-0064452f5c9e1,7.1776,67.4725,55.0,18.1
voa-0aa049e2-6943-41af-925f-56e675d67db31,7.9939,51.8813,49.3827,14.7
voa-0ad6b0e8-9104-48d7-8b89-29e8939208f63,9.5791,52.7303,54.1245,23.8333
voa-0b11d8c8-95dd-44d7-abe4-6bf5f3986b333,8.1421,54.1488,56.9302,23.6
voa-0b4dc213-be41-4137-87d3-0e9f7b8e44383,8.8512,49.7295,51.2352,20.4
voa-0b53f3b4-53e6-4e10-a37c-f40d638fb50b3,8.8047,50.3039,54.5074,19.0
voa-0b67f3c8-453e-422f-aa4f-9754a8a994573,9.2236,37.5352,48.3653,21.9333
voa-0b79ecf3-7c49-4297-bfa9-1f9a2c928d1f2,9.2124,49.1211,50.9425,24.5667
